#Xaxis_A2  YlengthA2  discharge_A2  dischargeEFF_A2  dischargeINEFF_A2  rech_Moulin_A2  rech_meltR_A2  P_A2
0.15625    20000      -0            -0               -0                 3.18            0.0404398      0.0675812
0.46875    20000      3.2145        0.010623         3.20388            3.17006         0.0404393      0.182299
0.78125    20000      3.20456       0.00178697       3.20278            3.16012         0.0404379      0.293784
1.09375    20000      3.19462       0.00077892       3.19384            3.15019         0.0404357      0.402294
1.40625    20000      3.18468       0.000460892      3.18422            3.14025         0.0404327      0.508055
1.71875    20000      3.17474       0.000321414      3.17442            3.13031         0.0404289      0.611266
2.03125    20000      3.1648        0.000249549      3.16455            3.12037         0.0404243      0.712103
2.34375    20000      3.15485       0.000209106      3.15464            3.11044         0.0404189      0.810722
2.65625    20000      3.14491       0.000185304      3.14472            3.1005          0.0404128      0.907262
2.96875    20000      3.13496       0.000171165      3.13479            3.09056         0.040406       1.00185
3.28125    20000      3.12502       0.000163056      3.12486            3.08062         0.0403985      1.0946
3.59375    20000      3.11507       0.00015895       3.11491            3.07069         0.0403902      1.1856
3.90625    20000      3.10512       0.000157671      3.10497            3.06075         0.0403812      1.27496
4.21875    20000      3.09518       0.000158534      3.09502            3.05081         0.0403714      1.36274
4.53125    20000      3.08523       0.000161158      3.08507            3.04087         0.0403609      1.44904
4.84375    20000      3.07528       0.000165371      3.07511            3.03094         0.0403496      1.53389
5.15625    20000      3.06533       0.000171159      3.06516            3.021           0.0403374      1.61737
5.46875    20000      3.05537       0.000178638      3.0552             3.01106         0.0403243      1.69951
5.78125    20000      3.04542       0.00018804       3.04523            3.00112         0.0403101      1.78035
6.09375    20000      3.03547       0.000199707      3.03527            2.99119         0.0402948      1.85992
6.40625    20000      3.02551       0.00021409       3.0253             2.98125         0.040278       1.93821
6.71875    20000      3.01555       0.000231748      3.01532            2.97131         0.0402597      2.01524
7.03125    20000      3.00559       0.000253347      3.00534            2.96137         0.0402393      2.09099
7.34375    20000      2.99563       0.000279656      2.99535            2.95144         0.0402167      2.16542
7.65625    20000      2.98567       0.000311536      2.98535            2.9415          0.0401912      2.23848
7.96875    20000      2.9757        0.000349927      2.97535            2.93156         0.0401624      2.31011
8.28125    20000      2.96572       0.000395814      2.96533            2.92162         0.0401296      2.38021
8.59375    20000      2.95574       0.000450195      2.95529            2.91169         0.0400919      2.44867
8.90625    20000      2.94576       0.000514028      2.94525            2.90175         0.0400487      2.51537
9.21875    20000      2.93577       0.000588162      2.93518            2.89181         0.0399988      2.58015
9.53125    20000      2.92577       0.000673265      2.92509            2.88187         0.0399412      2.64284
9.84375    20000      2.91576       0.000769738      2.91499            2.87194         0.0398748      2.70328
10.1562    20000      2.90573       0.000877627      2.90486            2.862           0.0397984      2.76125
10.4688    20000      2.8957        0.000996554      2.8947             2.85206         0.039711       2.8166
10.7812    20000      2.88565       0.00112566       2.88453            2.84212         0.0396113      2.86912
11.0938    20000      2.87559       0.00126356       2.87433            2.83219         0.0394983      2.91866
11.4062    20000      2.86551       0.00140842       2.86411            2.82225         0.0393711      2.96508
11.7188    20000      2.85542       0.00155796       2.85386            2.81231         0.0392292      3.00828
12.0312    20000      2.84531       0.0017096        2.8436             2.80237         0.0390719      3.04819
12.3438    20000      2.83518       0.00186059       2.83332            2.79244         0.0388991      3.08481
12.6562    20000      2.82504       0.0020082        2.82303            2.7825          0.0387109      3.11815
12.9688    20000      2.81488       0.00214984       2.81273            2.77256         0.0385076      3.14829
13.2812    20000      2.8047        0.00228324       2.80242            2.76262         0.0382899      3.17535
13.5938    20000      2.79451       0.00240655       2.7921             2.75269         0.0380585      3.19947
13.9062    20000      2.7843        0.00251838       2.78179            2.74275         0.0378144      3.22084
14.2188    20000      2.77409       0.00261785       2.77147            2.73281         0.0375587      3.23965
14.5312    20000      2.76386       0.00270454       2.76115            2.72287         0.0372926      3.25611
14.8438    20000      2.75362       0.00277845       2.75084            2.71294         0.0370174      3.27043
15.1562    20000      2.74337       0.00283993       2.74053            2.703           0.0367343      3.28283
15.4688    20000      2.73311       0.00288961       2.73022            2.69306         0.0364444      3.2935
15.7812    20000      2.72285       0.00292828       2.71992            2.68312         0.0361488      3.30265
16.0938    20000      2.71258       0.00295687       2.70962            2.67319         0.0358487      3.31045
16.4062    20000      2.70231       0.00297636       2.69933            2.66325         0.0355449      3.31707
16.7188    20000      2.69204       0.00298774       2.68905            2.65331         0.0352383      3.32266
17.0312    20000      2.68176       0.00299199       2.67877            2.64337         0.0349298      3.32735
17.3438    20000      2.67148       0.00299001       2.66849            2.63344         0.0346199      3.33127
17.6562    20000      2.6612        0.00298266       2.65822            2.6235          0.0343093      3.33452
17.9688    20000      2.65092       0.0029707        2.64795            2.61356         0.0339986      3.33719
18.2812    20000      2.64064       0.00295483       2.63769            2.60362         0.033688       3.33937
18.5938    20000      2.63037       0.00293566       2.62743            2.59369         0.0333781      3.34113
18.9062    20000      2.62009       0.00291375       2.61718            2.58375         0.0330692      3.34253
19.2188    20000      2.60981       0.00288955       2.60692            2.57381         0.0327615      3.34362
19.5312    20000      2.59954       0.00286349       2.59668            2.56387         0.0324552      3.34446
19.8438    20000      2.58927       0.00283592       2.58643            2.55394         0.0321506      3.34508
20.1562    20000      2.579         0.00280713       2.57619            2.544           0.0318479      3.34551
20.4688    20000      2.56873       0.0027774        2.56595            2.53406         0.031547       3.34579
20.7812    20000      2.55846       0.00274693       2.55572            2.52412         0.0312483      3.34594
21.0938    20000      2.5482        0.00271592       2.54548            2.51419         0.0309516      3.34598
21.4062    20000      2.53794       0.00268453       2.53525            2.50425         0.0306572      3.34593
21.7188    20000      2.52768       0.00265288       2.52503            2.49431         0.0303651      3.34581
22.0312    20000      2.51742       0.0026211        2.5148             2.48437         0.0300752      3.34564
22.3438    20000      2.50717       0.00258927       2.50458            2.47444         0.0297877      3.34541
22.6562    20000      2.49692       0.00255748       2.49436            2.4645          0.0295026      3.34516
22.9688    20000      2.48667       0.00252578       2.48415            2.45456         0.0292198      3.34487
23.2812    20000      2.47643       0.00249424       2.47393            2.44462         0.0289393      3.34456
23.5938    20000      2.46618       0.00246289       2.46372            2.43469         0.0286613      3.34424
23.9062    20000      2.45594       0.00243177       2.45351            2.42475         0.0283856      3.34391
24.2188    20000      2.44571       0.00240092       2.4433             2.41481         0.0281123      3.34358
24.5312    20000      2.43547       0.00237036       2.4331             2.40487         0.0278413      3.34324
24.8438    20000      2.42524       0.0023401        2.4229             2.39494         0.0275726      3.34291
25.1562    20000      2.41501       0.00231016       2.4127             2.385           0.0273063      3.34259
25.4688    20000      2.40478       0.00228055       2.4025             2.37506         0.0270423      3.34227
25.7812    20000      2.39455       0.00225128       2.3923             2.36512         0.0267805      3.34197
26.0938    20000      2.38433       0.00222235       2.38211            2.35519         0.026521       3.34168
26.4062    20000      2.37411       0.00219378       2.37192            2.34525         0.0262638      3.3414
26.7188    20000      2.36389       0.00216556       2.36173            2.33531         0.0260087      3.34114
27.0312    20000      2.35368       0.00213769       2.35154            2.32537         0.0257559      3.34089
27.3438    20000      2.34347       0.00211018       2.34136            2.31544         0.0255052      3.34066
27.6562    20000      2.33325       0.00208301       2.33117            2.3055          0.0252567      3.34045
27.9688    20000      2.32305       0.0020562        2.32099            2.29556         0.0250103      3.34025
28.2812    20000      2.31284       0.00202973       2.31081            2.28562         0.024766       3.34008
28.5938    20000      2.30264       0.00200361       2.30063            2.27569         0.0245238      3.33993
28.9062    20000      2.29244       0.00197783       2.29046            2.26575         0.0242837      3.33979
29.2188    20000      2.28224       0.00195238       2.28028            2.25581         0.0240455      3.33968
29.5312    20000      2.27204       0.00192727       2.27011            2.24587         0.0238094      3.33958
29.8438    20000      2.26184       0.00190248       2.25994            2.23594         0.0235753      3.33951
30.1562    20000      2.25165       0.00187801       2.24977            2.226           0.0233432      3.33945
30.4688    20000      2.24146       0.00185387       2.23961            2.21606         0.023113       3.33942
30.7812    20000      2.23127       0.00183004       2.22944            2.20612         0.0228847      3.3394
31.0938    20000      2.22109       0.00180651       2.21928            2.19619         0.0226583      3.33941
31.4062    20000      2.2109        0.00178329       2.20912            2.18625         0.0224338      3.33944
31.7188    20000      2.20072       0.00176037       2.19896            2.17631         0.0222112      3.33949
32.0312    20000      2.19054       0.00173774       2.1888             2.16637         0.0219905      3.33956
32.3438    20000      2.18036       0.0017154        2.17865            2.15644         0.0217715      3.33965
32.6562    20000      2.17019       0.00169335       2.16849            2.1465          0.0215544      3.33976
32.9688    20000      2.16001       0.00167158       2.15834            2.13656         0.021339       3.33989
33.2812    20000      2.14984       0.00165008       2.14819            2.12662         0.0211254      3.34004
33.5938    20000      2.13967       0.00162885       2.13804            2.11669         0.0209135      3.34021
33.9062    20000      2.1295        0.00160789       2.12789            2.10675         0.0207034      3.3404
34.2188    20000      2.11933       0.00158719       2.11775            2.09681         0.020495       3.34061
34.5312    20000      2.10917       0.00156675       2.1076             2.08687         0.0202883      3.34084
34.8438    20000      2.09901       0.00154656       2.09746            2.07694         0.0200833      3.34109
35.1562    20000      2.08885       0.00152662       2.08732            2.067           0.0198799      3.34136
35.4688    20000      2.07869       0.00150693       2.07718            2.05706         0.0196782      3.34165
35.7812    20000      2.06853       0.00148747       2.06704            2.04712         0.0194781      3.34196
36.0938    20000      2.05837       0.00146826       2.05691            2.03719         0.0192796      3.34229
36.4062    20000      2.04822       0.00144927       2.04677            2.02725         0.0190827      3.34264
36.7188    20000      2.03807       0.00143052       2.03664            2.01731         0.0188874      3.343
37.0312    20000      2.02792       0.00141199       2.02651            2.00737         0.0186936      3.34339
37.3438    20000      2.01777       0.00139369       2.01638            1.99744         0.0185014      3.3438
37.6562    20000      2.00762       0.0013756        2.00625            1.9875          0.0183108      3.34422
37.9688    20000      1.99748       0.00135773       1.99612            1.97756         0.0181216      3.34467
38.2812    20000      1.98733       0.00134008       1.98599            1.96762         0.017934       3.34513
38.5938    20000      1.97719       0.00132263       1.97587            1.95769         0.0177478      3.34561
38.9062    20000      1.96705       0.00130538       1.96574            1.94775         0.0175632      3.34611
39.2188    20000      1.95691       0.00128834       1.95562            1.93781         0.01738        3.34663
39.5312    20000      1.94677       0.0012715        1.9455             1.92787         0.0171982      3.34717
39.8438    20000      1.93664       0.00125486       1.93538            1.91794         0.0170179      3.34773
40.1562    20000      1.9265        0.00123841       1.92527            1.908           0.0168391      3.34831
40.4688    20000      1.91637       0.00122215       1.91515            1.89806         0.0166616      3.3489
40.7812    20000      1.90624       0.00120608       1.90503            1.88812         0.0164855      3.34952
41.0938    20000      1.89611       0.00119019       1.89492            1.87819         0.0163109      3.35015
41.4062    20000      1.88598       0.00117449       1.88481            1.86825         0.0161376      3.3508
41.7188    20000      1.87586       0.00115897       1.8747             1.85831         0.0159656      3.35147
42.0312    20000      1.86573       0.00114362       1.86459            1.84837         0.0157951      3.35216
42.3438    20000      1.85561       0.00112845       1.85448            1.83844         0.0156258      3.35286
42.6562    20000      1.84549       0.00111345       1.84437            1.8285          0.0154579      3.35359
42.9688    20000      1.83537       0.00109862       1.83427            1.81856         0.0152914      3.35433
43.2812    20000      1.82525       0.00108397       1.82416            1.80862         0.0151261      3.35509
43.5938    20000      1.81513       0.00106947       1.81406            1.79869         0.0149621      3.35587
43.9062    20000      1.80501       0.00105514       1.80396            1.78875         0.0147994      3.35667
44.2188    20000      1.7949        0.00104097       1.79386            1.77881         0.014638       3.35749
44.5312    20000      1.78478       0.00102696       1.78376            1.76887         0.0144779      3.35833
44.8438    20000      1.77467       0.00101311       1.77366            1.75894         0.014319       3.35918
45.1562    20000      1.76456       0.000999411      1.76356            1.749           0.0141614      3.36005
45.4688    20000      1.75445       0.000985866      1.75347            1.73906         0.014005       3.36094
45.7812    20000      1.74434       0.000972472      1.74337            1.72912         0.0138498      3.36186
46.0938    20000      1.73424       0.000959227      1.73328            1.71919         0.0136959      3.36278
46.4062    20000      1.72413       0.000946129      1.72319            1.70925         0.0135431      3.36373
46.7188    20000      1.71403       0.000933176      1.7131             1.69931         0.0133916      3.3647
47.0312    20000      1.70393       0.000920367      1.70301            1.68937         0.0132413      3.36568
47.3438    20000      1.69382       0.000907699      1.69292            1.67944         0.0130921      3.36669
47.6562    20000      1.68372       0.000895172      1.68283            1.6695          0.0129441      3.36771
47.9688    20000      1.67363       0.000882782      1.67274            1.65956         0.0127973      3.36875
48.2812    20000      1.66353       0.000870529      1.66266            1.64962         0.0126516      3.36981
48.5938    20000      1.65343       0.000858411      1.65257            1.63969         0.0125071      3.37089
48.9062    20000      1.64334       0.000846427      1.64249            1.62975         0.0123637      3.37199
49.2188    20000      1.63324       0.000834574      1.63241            1.61981         0.0122214      3.3731
49.5312    20000      1.62315       0.000822851      1.62233            1.60987         0.0120803      3.37424
49.8438    20000      1.61306       0.000811257      1.61225            1.59994         0.0119403      3.3754
50.1562    20000      1.60297       0.00079979       1.60217            1.59            0.0118014      3.37657
