#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
0.15625    20000      -0            -0               -0                 90               1.14136        0.0675508
0.46875    20000      90.973        5.21373          85.7593            89.7188          1.14135        0.182179
0.78125    20000      90.6917       0.689367         90.0023            89.4375          1.14133        0.293553
1.09375    20000      90.4104       0.225466         90.185             89.1562          1.14131        0.401942
1.40625    20000      90.1292       0.116665         90.0125            88.875           1.14128        0.507562
1.71875    20000      89.8479       0.0805742        89.7673            88.5938          1.14125        0.6106
2.03125    20000      89.5666       0.0682805        89.4983            88.3125          1.14121        0.71121
2.34375    20000      89.2853       0.0674474        89.2178            88.0312          1.14115        0.809516
2.65625    20000      89.0039       0.0747828        88.9291            87.75            1.14108        0.905605
2.96875    20000      88.7226       0.0902514        88.6323            87.4688          1.14097        0.999524
3.28125    20000      88.4411       0.115562         88.3256            87.1875          1.14081        1.09127
3.59375    20000      88.1596       0.15375          88.0059            86.9062          1.14057        1.18075
3.90625    20000      87.878        0.209035         87.6689            86.625           1.14021        1.26782
4.21875    20000      87.5962       0.286649         87.3095            86.3438          1.13969        1.35221
4.53125    20000      87.3141       0.392444         86.9216            86.0625          1.13892        1.43351
4.84375    20000      87.0316       0.532107         86.4995            85.7812          1.13781        1.5112
5.15625    20000      86.7486       0.709959         86.0387            85.5             1.13625        1.58466
5.46875    20000      86.465        0.927454         85.5376            85.2188          1.13411        1.65315
5.78125    20000      86.1806       1.18178          84.9989            84.9375          1.13126        1.71597
6.09375    20000      85.8954       1.46512          84.4302            84.6562          1.12758        1.77252
6.40625    20000      85.609        1.76521          83.8438            84.375           1.12298        1.82238
6.71875    20000      85.3217       2.06702          83.2546            84.0938          1.11739        1.86541
7.03125    20000      85.0332       2.35541          82.6778            83.8125          1.11083        1.90175
7.34375    20000      84.7437       2.61757          82.1261            83.5312          1.10335        1.93183
7.65625    20000      84.4533       2.8447           81.6086            83.25            1.09502        1.95623
7.96875    20000      84.1621       3.03246          81.1297            82.9688          1.08597        1.97569
8.28125    20000      83.8703       3.18046          80.6898            82.6875          1.07631        1.99095
8.59375    20000      83.5779       3.29121          80.2867            82.4062          1.06618        2.00272
8.90625    20000      83.2851       3.36893          79.9162            82.125           1.05569        2.01166
9.21875    20000      82.992        3.41856          79.5735            81.8438          1.04494        2.01834
9.53125    20000      82.6988       3.4451           79.2537            81.5625          1.03402        2.02323
9.84375    20000      82.4054       3.45311          78.9523            81.2812          1.023          2.02671
10.1562    20000      82.112        3.44659          78.6654            81               1.01192        2.02911
10.4688    20000      81.8186       3.42888          78.3897            80.7188          1.00085        2.03067
10.7812    20000      81.5252       3.40269          78.1225            80.4375          0.989807       2.03159
11.0938    20000      81.2319       3.37019          77.8617            80.1562          0.978821       2.03203
