#Xaxis_B1     YlengthB1     discharge_B1   dischargeEFF_B1  dischargeINEFF_B1  rech_Moulins_B1  rech_meltR_B1  P_B1
1.562500e-01  2.000000e+04  -0.000000e+00  -0.000000e+00    -0.000000e+00      9.015860e+01     1.566699e+00   6.755030e-02
4.687500e-01  2.000000e+04  9.187974e+01   5.401384e+00     8.647836e+01       9.015810e+01     1.566690e+00   1.821765e-01
7.812500e-01  2.000000e+04  9.187922e+01   7.210180e-01     9.115821e+01       9.015761e+01     1.566669e+00   2.935487e-01
1.093750e+00  2.000000e+04  9.187870e+01   2.383219e-01     9.164038e+01       9.015711e+01     1.566644e+00   4.019335e-01
1.406250e+00  2.000000e+04  9.187817e+01   1.246559e-01     9.175352e+01       9.015662e+01     1.566616e+00   5.075492e-01
1.718750e+00  2.000000e+04  9.187764e+01   8.706757e-02     9.179057e+01       9.015612e+01     1.566581e+00   6.105804e-01
2.031250e+00  2.000000e+04  9.187710e+01   7.466404e-02     9.180243e+01       9.015563e+01     1.566537e+00   7.111802e-01
2.343750e+00  2.000000e+04  9.187653e+01   7.467274e-02     9.180186e+01       9.015513e+01     1.566478e+00   8.094697e-01
2.656250e+00  2.000000e+04  9.187595e+01   8.385047e-02     9.179210e+01       9.015463e+01     1.566395e+00   9.055334e-01
2.968750e+00  2.000000e+04  9.187532e+01   1.024870e-01     9.177283e+01       9.015414e+01     1.566275e+00   9.994107e-01
3.281250e+00  2.000000e+04  9.187463e+01   1.328749e-01     9.174176e+01       9.015364e+01     1.566099e+00   1.091084e+00
3.593750e+00  2.000000e+04  9.187384e+01   1.789260e-01     9.169492e+01       9.015315e+01     1.565834e+00   1.180461e+00
3.906250e+00  2.000000e+04  9.187291e+01   2.460699e-01     9.162684e+01       9.015265e+01     1.565436e+00   1.267353e+00
4.218750e+00  2.000000e+04  9.187176e+01   3.410799e-01     9.153068e+01       9.015216e+01     1.564842e+00   1.351456e+00
4.531250e+00  2.000000e+04  9.187031e+01   4.715737e-01     9.139873e+01       9.015166e+01     1.563966e+00   1.432328e+00
4.843750e+00  2.000000e+04  9.186842e+01   6.449900e-01     9.122343e+01       9.015117e+01     1.562699e+00   1.509389e+00
5.156250e+00  2.000000e+04  9.186595e+01   8.669675e-01     9.099898e+01       9.015067e+01     1.560906e+00   1.581937e+00
5.468750e+00  2.000000e+04  9.186274e+01   1.139334e+00     9.072341e+01       9.015017e+01     1.558438e+00   1.649206e+00
5.781250e+00  2.000000e+04  9.185863e+01   1.458283e+00     9.040034e+01       9.014968e+01     1.555141e+00   1.710450e+00
6.093750e+00  2.000000e+04  9.185345e+01   1.813560e+00     9.003989e+01       9.014918e+01     1.550879e+00   1.765057e+00
6.406250e+00  2.000000e+04  9.184709e+01   2.189317e+00     8.965777e+01       9.014869e+01     1.545547e+00   1.812651e+00
6.718750e+00  2.000000e+04  9.183951e+01   2.566637e+00     8.927287e+01       9.014819e+01     1.539097e+00   1.853162e+00
7.031250e+00  2.000000e+04  9.183070e+01   2.926928e+00     8.890378e+01       9.014770e+01     1.531537e+00   1.886834e+00
7.343750e+00  2.000000e+04  9.182075e+01   3.255003e+00     8.856575e+01       9.014720e+01     1.522930e+00   1.914177e+00
7.656250e+00  2.000000e+04  9.180976e+01   3.540883e+00     8.826888e+01       9.014670e+01     1.513381e+00   1.935881e+00
7.968750e+00  2.000000e+04  9.179788e+01   3.780097e+00     8.801779e+01       9.014621e+01     1.503023e+00   1.952725e+00
8.281250e+00  2.000000e+04  9.178527e+01   3.972815e+00     8.781246e+01       9.014571e+01     1.491997e+00   1.965496e+00
8.593750e+00  2.000000e+04  9.177208e+01   4.122434e+00     8.764964e+01       9.014522e+01     1.480440e+00   1.974931e+00
8.906250e+00  2.000000e+04  9.175843e+01   4.234156e+00     8.752428e+01       9.014472e+01     1.468477e+00   1.981681e+00
9.218750e+00  2.000000e+04  9.174446e+01   4.313844e+00     8.743062e+01       9.014423e+01     1.456216e+00   1.986303e+00
9.531250e+00  2.000000e+04  9.173027e+01   4.367259e+00     8.736301e+01       9.014373e+01     1.443748e+00   1.989259e+00
9.843750e+00  2.000000e+04  9.171592e+01   4.399624e+00     8.731630e+01       9.014324e+01     1.431147e+00   1.990922e+00
1.015625e+01  2.000000e+04  9.170150e+01   4.415435e+00     8.728606e+01       9.014274e+01     1.418470e+00   1.991589e+00
1.046875e+01  2.000000e+04  9.168704e+01   4.418426e+00     8.726861e+01       9.014224e+01     1.405765e+00   1.991497e+00
1.078125e+01  2.000000e+04  9.167259e+01   4.411624e+00     8.726097e+01       9.014175e+01     1.393065e+00   1.990827e+00
1.109375e+01  2.000000e+04  9.165817e+01   4.397434e+00     8.726074e+01       9.014125e+01     1.380398e+00   1.989722e+00
1.140625e+01  2.000000e+04  9.164382e+01   4.377747e+00     8.726607e+01       9.014076e+01     1.367784e+00   1.988293e+00
1.171875e+01  2.000000e+04  9.162953e+01   4.354031e+00     8.727550e+01       9.014026e+01     1.355236e+00   1.986624e+00
1.203125e+01  2.000000e+04  9.161533e+01   4.327418e+00     8.728792e+01       9.013977e+01     1.342767e+00   1.984780e+00
1.234375e+01  2.000000e+04  9.160123e+01   4.298778e+00     8.730245e+01       9.013927e+01     1.330384e+00   1.982811e+00
1.265625e+01  2.000000e+04  9.158723e+01   4.268773e+00     8.731845e+01       9.013877e+01     1.318091e+00   1.980756e+00
1.296875e+01  2.000000e+04  9.157333e+01   4.237905e+00     8.733542e+01       9.013828e+01     1.305893e+00   1.978643e+00
1.328125e+01  2.000000e+04  9.155953e+01   4.206555e+00     8.735298e+01       9.013778e+01     1.293790e+00   1.976494e+00
1.359375e+01  2.000000e+04  9.154584e+01   4.175008e+00     8.737083e+01       9.013729e+01     1.281785e+00   1.974328e+00
1.390625e+01  2.000000e+04  9.153226e+01   4.143479e+00     8.738878e+01       9.013679e+01     1.269877e+00   1.972155e+00
1.421875e+01  2.000000e+04  9.151879e+01   4.112125e+00     8.740666e+01       9.013630e+01     1.258066e+00   1.969987e+00
1.453125e+01  2.000000e+04  9.150542e+01   4.081063e+00     8.742435e+01       9.013580e+01     1.246351e+00   1.967830e+00
1.484375e+01  2.000000e+04  9.149215e+01   4.050376e+00     8.744178e+01       9.013531e+01     1.234731e+00   1.965689e+00
1.515625e+01  2.000000e+04  9.147899e+01   4.020125e+00     8.745887e+01       9.013481e+01     1.223204e+00   1.963568e+00
1.546875e+01  2.000000e+04  9.146593e+01   3.990351e+00     8.747558e+01       9.013431e+01     1.211770e+00   1.961471e+00
1.578125e+01  2.000000e+04  9.145297e+01   3.961080e+00     8.749189e+01       9.013382e+01     1.200426e+00   1.959399e+00
1.609375e+01  2.000000e+04  9.144011e+01   3.932328e+00     8.750778e+01       9.013332e+01     1.189172e+00   1.957354e+00
1.640625e+01  2.000000e+04  9.142734e+01   3.904105e+00     8.752323e+01       9.013283e+01     1.178005e+00   1.955337e+00
1.671875e+01  2.000000e+04  9.141466e+01   3.876413e+00     8.753825e+01       9.013233e+01     1.166923e+00   1.953347e+00
1.703125e+01  2.000000e+04  9.140208e+01   3.849250e+00     8.755283e+01       9.013184e+01     1.155925e+00   1.951385e+00
1.734375e+01  2.000000e+04  9.138959e+01   3.822610e+00     8.756698e+01       9.013134e+01     1.145010e+00   1.949452e+00
1.765625e+01  2.000000e+04  9.137719e+01   3.796486e+00     8.758071e+01       9.013084e+01     1.134175e+00   1.947546e+00
1.796875e+01  2.000000e+04  9.136488e+01   3.770868e+00     8.759401e+01       9.013035e+01     1.123419e+00   1.945669e+00
1.828125e+01  2.000000e+04  9.135265e+01   3.745747e+00     8.760690e+01       9.012985e+01     1.112741e+00   1.943818e+00
1.859375e+01  2.000000e+04  9.134050e+01   3.721110e+00     8.761939e+01       9.012936e+01     1.102138e+00   1.941994e+00
1.890625e+01  2.000000e+04  9.132843e+01   3.696946e+00     8.763149e+01       9.012886e+01     1.091610e+00   1.940197e+00
