#Xaxis_E1     YlengthE1     discharge_E1  dischargeEFF_E1  dischargeINEFF_E1  rech_Moulins_E1  rech_meltR_E1  P_E1
1.289062e-01  5.156250e+02  6.593623e+00  6.489116e+00     1.045063e-01       6.541739e+00     4.720809e-02   4.872290e-01
1.523438e-01  5.625000e+02  6.485164e+00  5.883792e+00     6.013719e-01       6.527744e+00     4.709013e-02   5.603968e-01
1.757812e-01  5.625000e+02  6.564070e+00  5.373122e+00     1.190948e+00       6.512478e+00     4.694254e-02   6.275418e-01
1.992188e-01  6.093750e+02  6.460303e+00  4.948034e+00     1.512269e+00       6.497211e+00     4.684406e-02   6.949537e-01
2.226562e-01  6.093750e+02  6.532014e+00  4.640947e+00     1.891067e+00       6.480672e+00     4.671721e-02   7.564093e-01
2.460938e-01  6.093750e+02  6.515376e+00  4.379148e+00     2.136228e+00       6.464134e+00     4.662823e-02   8.152827e-01
2.695312e-01  6.562500e+02  6.421351e+00  4.313987e+00     2.107364e+00       6.447595e+00     4.653313e-02   8.755197e-01
2.929688e-01  6.562500e+02  6.480783e+00  4.214144e+00     2.266639e+00       6.429784e+00     4.640758e-02   9.297839e-01
3.164062e-01  6.562500e+02  6.462867e+00  4.110586e+00     2.352281e+00       6.411973e+00     4.631253e-02   9.817166e-01
3.398438e-01  7.031250e+02  6.390931e+00  4.193654e+00     2.197277e+00       6.394162e+00     4.620674e-02   1.035830e+00
3.632812e-01  7.031250e+02  6.425711e+00  4.217445e+00     2.208266e+00       6.375078e+00     4.607534e-02   1.083747e+00
3.867188e-01  7.031250e+02  6.406500e+00  4.237078e+00     2.169422e+00       6.355995e+00     4.595996e-02   1.129423e+00
4.101562e-01  7.031250e+02  6.387272e+00  4.383426e+00     2.003846e+00       6.336912e+00     4.582836e-02   1.173308e+00
4.335938e-01  7.031250e+02  6.368024e+00  4.481781e+00     1.886243e+00       6.317829e+00     4.567914e-02   1.215405e+00
4.570312e-01  7.500000e+02  6.315176e+00  4.508646e+00     1.806530e+00       6.298745e+00     4.551742e-02   1.260218e+00
4.804688e-01  7.500000e+02  6.328206e+00  4.502621e+00     1.825584e+00       6.278390e+00     4.533415e-02   1.298451e+00
5.039062e-01  7.500000e+02  6.307659e+00  4.542415e+00     1.765244e+00       6.258034e+00     4.515874e-02   1.334227e+00
5.273438e-01  7.500000e+02  6.287092e+00  4.652970e+00     1.634122e+00       6.237679e+00     4.496240e-02   1.368385e+00
5.507812e-01  7.500000e+02  6.266506e+00  4.688246e+00     1.578260e+00       6.217323e+00     4.475032e-02   1.401101e+00
5.742188e-01  7.500000e+02  6.245909e+00  4.705308e+00     1.540602e+00       6.196968e+00     4.453129e-02   1.432254e+00
5.976562e-01  7.968750e+02  6.199724e+00  4.720228e+00     1.479496e+00       6.176613e+00     4.430998e-02   1.466610e+00
6.210938e-01  7.968750e+02  6.203422e+00  4.713934e+00     1.489488e+00       6.154985e+00     4.407566e-02   1.494713e+00
6.445312e-01  7.968750e+02  6.181553e+00  4.694518e+00     1.487035e+00       6.133357e+00     4.385729e-02   1.520603e+00
6.679688e-01  7.968750e+02  6.159676e+00  4.713397e+00     1.446278e+00       6.111729e+00     4.363093e-02   1.545063e+00
6.914062e-01  7.968750e+02  6.137789e+00  4.728769e+00     1.409019e+00       6.090102e+00     4.339503e-02   1.568317e+00
7.148438e-01  7.968750e+02  6.115891e+00  4.738505e+00     1.377386e+00       6.068474e+00     4.314969e-02   1.590464e+00
7.382812e-01  7.968750e+02  6.093984e+00  4.744458e+00     1.349526e+00       6.046846e+00     4.289508e-02   1.611590e+00
7.617188e-01  7.968750e+02  6.072066e+00  4.748241e+00     1.323825e+00       6.025219e+00     4.263101e-02   1.631790e+00
7.851562e-01  8.437500e+02  6.028232e+00  4.739613e+00     1.288619e+00       6.003591e+00     4.235766e-02   1.655916e+00
8.085938e-01  8.437500e+02  6.026917e+00  4.708024e+00     1.318893e+00       5.980691e+00     4.206556e-02   1.675029e+00
8.320312e-01  8.437500e+02  6.003711e+00  4.660456e+00     1.343255e+00       5.957791e+00     4.178705e-02   1.692576e+00
8.554688e-01  8.437500e+02  5.980501e+00  4.642629e+00     1.337872e+00       5.934891e+00     4.150507e-02   1.708949e+00
8.789062e-01  8.437500e+02  5.957285e+00  4.629880e+00     1.327405e+00       5.911991e+00     4.121744e-02   1.724322e+00
9.023438e-01  8.437500e+02  5.934062e+00  4.618063e+00     1.315999e+00       5.889092e+00     4.092372e-02   1.738770e+00
9.257812e-01  8.437500e+02  5.910832e+00  4.606579e+00     1.304253e+00       5.866192e+00     4.062356e-02   1.752327e+00
9.492188e-01  8.437500e+02  5.887592e+00  4.588137e+00     1.299455e+00       5.843292e+00     4.031538e-02   1.765012e+00
9.726562e-01  8.437500e+02  5.864339e+00  4.563419e+00     1.300920e+00       5.820392e+00     3.999384e-02   1.776895e+00
9.960938e-01  8.437500e+02  5.841063e+00  4.555581e+00     1.285482e+00       5.797492e+00     3.965015e-02   1.788140e+00
1.019531e+00  8.906250e+02  5.797578e+00  4.539476e+00     1.258102e+00       5.774592e+00     3.928427e-02   1.803699e+00
1.042969e+00  8.906250e+02  5.793169e+00  4.495975e+00     1.297194e+00       5.750420e+00     3.889909e-02   1.814596e+00
1.066406e+00  8.906250e+02  5.768606e+00  4.436490e+00     1.332116e+00       5.726248e+00     3.854222e-02   1.824137e+00
1.089844e+00  8.906250e+02  5.744061e+00  4.418221e+00     1.325840e+00       5.702076e+00     3.820328e-02   1.832804e+00
1.113281e+00  8.906250e+02  5.719525e+00  4.409561e+00     1.309964e+00       5.677904e+00     3.787334e-02   1.840891e+00
1.136719e+00  8.906250e+02  5.694990e+00  4.390613e+00     1.304378e+00       5.653731e+00     3.754431e-02   1.848442e+00
1.160156e+00  8.906250e+02  5.670454e+00  4.371667e+00     1.298787e+00       5.629559e+00     3.721317e-02   1.855454e+00
1.183594e+00  8.906250e+02  5.645914e+00  4.352916e+00     1.292998e+00       5.605387e+00     3.687925e-02   1.861947e+00
1.207031e+00  8.906250e+02  5.621372e+00  4.334120e+00     1.287252e+00       5.581215e+00     3.654244e-02   1.867944e+00
1.230469e+00  8.906250e+02  5.596826e+00  4.315351e+00     1.281476e+00       5.557043e+00     3.620268e-02   1.873472e+00
1.253906e+00  8.906250e+02  5.572278e+00  4.296786e+00     1.275491e+00       5.532871e+00     3.585988e-02   1.878565e+00
1.277344e+00  8.906250e+02  5.547725e+00  4.278693e+00     1.269032e+00       5.508699e+00     3.551395e-02   1.883260e+00
1.300781e+00  8.906250e+02  5.523169e+00  4.261480e+00     1.261689e+00       5.484527e+00     3.516465e-02   1.887606e+00
1.324219e+00  8.906250e+02  5.498609e+00  4.244360e+00     1.254249e+00       5.460354e+00     3.481157e-02   1.891669e+00
1.347656e+00  9.375000e+02  5.454903e+00  4.218095e+00     1.236808e+00       5.436182e+00     3.445489e-02   1.900430e+00
1.371094e+00  9.375000e+02  5.448194e+00  4.175413e+00     1.272781e+00       5.410738e+00     3.408457e-02   1.904874e+00
1.394531e+00  9.375000e+02  5.422362e+00  4.119592e+00     1.302770e+00       5.385294e+00     3.373255e-02   1.908293e+00
1.417969e+00  9.375000e+02  5.396534e+00  4.087159e+00     1.309374e+00       5.359849e+00     3.338266e-02   1.911070e+00
1.441406e+00  9.375000e+02  5.370705e+00  4.059380e+00     1.311325e+00       5.334405e+00     3.303270e-02   1.913376e+00
1.464844e+00  9.375000e+02  5.344875e+00  4.032784e+00     1.312091e+00       5.308961e+00     3.268219e-02   1.915280e+00
1.488281e+00  9.375000e+02  5.319045e+00  4.006620e+00     1.312425e+00       5.283516e+00     3.233101e-02   1.916821e+00
1.511719e+00  9.375000e+02  5.293214e+00  3.980617e+00     1.312597e+00       5.258072e+00     3.197908e-02   1.918022e+00
1.535156e+00  9.375000e+02  5.267382e+00  3.954498e+00     1.312884e+00       5.232628e+00     3.162642e-02   1.918905e+00
1.558594e+00  9.375000e+02  5.241549e+00  3.927906e+00     1.313644e+00       5.207183e+00     3.127304e-02   1.919489e+00
