#Xaxis_E2     YlengthE2     discharge_E2   dischargeEFF_E2  dischargeINEFF_E2  rech_Moulins_E2  rech_meltR_E2  P_E2
1.171875e-02  2.812500e+02  -0.000000e+00  -0.000000e+00    -0.000000e+00      6.597716e+00     2.984995e-02   6.036174e-02
3.515625e-02  3.750000e+02  6.338435e+00   6.076867e+00     2.615673e-01       6.590083e+00     2.984783e-02   1.564983e-01
5.859375e-02  4.218750e+02  6.475761e+00   4.901089e+00     1.574672e+00       6.579905e+00     2.984381e-02   2.455522e-01
8.203125e-02  4.687500e+02  6.471940e+00   2.615470e+00     3.856470e+00       6.568455e+00     2.984003e-02   3.295376e-01
1.054688e-01  5.156250e+02  6.482124e+00   1.047110e+00     5.435014e+00       6.555733e+00     2.983640e-02   4.092811e-01
1.289062e-01  5.156250e+02  6.574526e+00   5.515882e-01     6.022938e+00       6.541739e+00     2.983282e-02   4.823236e-01
1.523438e-01  5.625000e+02  6.448198e+00   3.447233e-01     6.103475e+00       6.527744e+00     2.982935e-02   5.548723e-01
1.757812e-01  5.625000e+02  6.545255e+00   2.459540e-01     6.299301e+00       6.512478e+00     2.982565e-02   6.211014e-01
1.992188e-01  6.093750e+02  6.430167e+00   1.900107e-01     6.240156e+00       6.497211e+00     2.982190e-02   6.881544e-01
2.226562e-01  6.093750e+02  6.513440e+00   1.589521e-01     6.354488e+00       6.480672e+00     2.981777e-02   7.489440e-01
2.460938e-01  6.093750e+02  6.496896e+00   1.418222e-01     6.355074e+00       6.464134e+00     2.981342e-02   8.073931e-01
2.695312e-01  6.562500e+02  6.387923e+00   1.312744e-01     6.256649e+00       6.447595e+00     2.980868e-02   8.680041e-01
2.929688e-01  6.562500e+02  6.462535e+00   1.253985e-01     6.337136e+00       6.429784e+00     2.980327e-02   9.223710e-01
3.164062e-01  6.562500e+02  6.444717e+00   1.247768e-01     6.319940e+00       6.411973e+00     2.979737e-02   9.749313e-01
3.398438e-01  7.031250e+02  6.348718e+00   1.262755e-01     6.222442e+00       6.394162e+00     2.979072e-02   1.030758e+00
3.632812e-01  7.031250e+02  6.407807e+00   1.293420e-01     6.278465e+00       6.375078e+00     2.978304e-02   1.080099e+00
3.867188e-01  7.031250e+02  6.388714e+00   1.369544e-01     6.251760e+00       6.355995e+00     2.977445e-02   1.127978e+00
4.101562e-01  7.031250e+02  6.369620e+00   1.495389e-01     6.220081e+00       6.336912e+00     2.976453e-02   1.174476e+00
4.335938e-01  7.031250e+02  6.350524e+00   1.648838e-01     6.185640e+00       6.317829e+00     2.975294e-02   1.219664e+00
4.570312e-01  7.500000e+02  6.263438e+00   1.783001e-01     6.085138e+00       6.298745e+00     2.973952e-02   1.269202e+00
4.804688e-01  7.500000e+02  6.311054e+00   1.908337e-01     6.120220e+00       6.278390e+00     2.972395e-02   1.312004e+00
5.039062e-01  7.500000e+02  6.290679e+00   2.090784e-01     6.081600e+00       6.258034e+00     2.970643e-02   1.353664e+00
5.273438e-01  7.500000e+02  6.270301e+00   2.331680e-01     6.037133e+00       6.237679e+00     2.968616e-02   1.394216e+00
5.507812e-01  7.500000e+02  6.249920e+00   2.609600e-01     5.988960e+00       6.217323e+00     2.966264e-02   1.433691e+00
5.742188e-01  7.500000e+02  6.229534e+00   2.906078e-01     5.938927e+00       6.196968e+00     2.963542e-02   1.472113e+00
5.976562e-01  7.968750e+02  6.151982e+00   3.153500e-01     5.836632e+00       6.176613e+00     2.960440e-02   1.515740e+00
6.210938e-01  7.968750e+02  6.187479e+00   3.363332e-01     5.851145e+00       6.154985e+00     2.956930e-02   1.552248e+00
6.445312e-01  7.968750e+02  6.165808e+00   3.647430e-01     5.801065e+00       6.133357e+00     2.953063e-02   1.587769e+00
6.679688e-01  7.968750e+02  6.144133e+00   3.997841e-01     5.744349e+00       6.111729e+00     2.948706e-02   1.622310e+00
